,Relatives__sum,Log__Fare,One_hot__Sex_female,One_hot__Sex_male,Ordinal__Embarked,Numeric__SibSp,Numeric__Parch,KNN__Age,Pass__Pclass,Pass__Survived
644,0.1,0.3494505372759428,0.0,1.0,0.0,0.125,0.0,0.3192991302155552,3.0,0.0
665,0.0,0.5422905113083996,0.0,1.0,0.0,0.0,0.0,0.5651077776377158,1.0,0.0
586,0.4,0.5249047780663141,1.0,0.0,0.0,0.375,0.16666666666666666,0.374247205811224,3.0,0.0
458,0.1,0.7212027531446069,1.0,0.0,1.0,0.125,0.0,0.374247205811224,1.0,1.0
256,0.0,0.36344855811683735,0.0,1.0,0.0,0.0,0.0,0.24366570023950587,3.0,0.0
386,0.2,0.7025447166880028,0.0,1.0,1.0,0.125,0.16666666666666666,0.747888566746502,1.0,1.0
512,0.0,0.35072669661240763,1.0,0.0,0.0,0.0,0.0,0.3319047018782302,3.0,1.0
327,0.0,0.5313325505056177,0.0,1.0,0.0,0.0,0.0,0.6344384217824278,1.0,1.0
358,0.7000000000000001,0.6199594201430055,0.0,1.0,0.0,0.625,0.3333333333333333,0.16803227026345646,3.0,0.0
705,0.1,0.5281013477114938,0.0,1.0,0.0,0.125,0.0,0.6722551367704526,2.0,0.0
133,0.2,0.6907316473431996,0.0,1.0,0.0,0.25,0.0,0.29408798689020543,2.0,0.0
51,0.0,0.34755366512192026,0.0,1.0,2.0,0.0,0.0,0.38232698852892977,3.0,0.0
36,0.0,0.33812548386615277,0.0,1.0,0.0,0.0,0.0,0.26887684356485564,3.0,0.0
41,0.0,0.5528013511027754,0.0,1.0,0.0,0.0,0.0,0.6848607084331274,1.0,0.0
450,0.0,0.39134423619738523,0.0,1.0,0.0,0.0,0.0,0.3192991302155552,2.0,0.0
85,0.0,0.43917261968469046,0.0,1.0,0.0,0.0,0.0,0.23106012857683098,3.0,0.0
306,0.0,0.3665280799528062,1.0,0.0,0.0,0.0,0.0,0.29408798689020543,3.0,0.0
630,0.5,0.8934502391534316,0.0,1.0,0.0,0.375,0.3333333333333333,0.23106012857683098,1.0,0.0
273,0.1,0.4875782343987794,0.0,1.0,0.0,0.125,0.0,0.374247205811224,3.0,0.0
489,0.0,0.5313325505056177,1.0,0.0,0.0,0.0,0.0,0.7226774234211522,1.0,1.0
70,0.1,0.4386984565615303,1.0,0.0,1.0,0.0,0.16666666666666666,0.5588049918063784,3.0,0.0
87,0.1,0.6449935901916027,1.0,0.0,0.0,0.0,0.16666666666666666,0.374247205811224,1.0,1.0
444,0.0,0.42286368807669106,0.0,1.0,0.0,0.0,0.0,0.5966217067944031,2.0,0.0
571,0.1,0.6394627518675874,0.0,1.0,0.0,0.125,0.0,0.45796041850497915,1.0,0.0
465,0.0,0.6492173620225161,0.0,1.0,0.0,0.0,0.0,0.374247205811224,3.0,1.0
531,0.1,0.33410957037538047,0.0,1.0,0.0,0.125,0.0,0.35711584520358,3.0,0.0
46,0.0,0.3529552840548492,0.0,1.0,0.0,0.0,0.0,0.29408798689020543,3.0,0.0
427,0.2,0.6907316473431996,0.0,1.0,0.0,0.25,0.0,0.25627127190218074,2.0,0.0
552,0.0,0.3502016019446998,0.0,1.0,1.0,0.0,0.0,0.374247205811224,3.0,0.0
315,0.0,0.543440593729386,1.0,0.0,1.0,0.0,0.0,0.6218328501197529,1.0,0.0
392,0.0,0.34755366512192026,0.0,1.0,2.0,0.0,0.0,0.374247205811224,3.0,0.0
606,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.374247205811224,2.0,0.0
463,0.0,0.3502016019446998,0.0,1.0,0.0,0.0,0.0,0.374247205811224,3.0,0.0
404,0.0,0.4783031492847506,0.0,1.0,1.0,0.0,0.0,0.13021555527543174,3.0,0.0
79,0.1,0.5380012918108712,0.0,1.0,1.0,0.125,0.0,0.35711584520358,2.0,0.0
124,0.2,0.7034412659259898,1.0,0.0,0.0,0.125,0.16666666666666666,0.483171561830329,1.0,1.0
446,0.1,0.5281013477114938,1.0,0.0,0.0,0.125,0.0,0.3445102735409051,2.0,1.0
178,0.0,0.6361712049470615,0.0,1.0,0.0,0.0,0.0,0.5840161351317282,1.0,0.0
66,0.0,0.3500520309667982,0.0,1.0,0.0,0.0,0.0,0.3192991302155552,3.0,0.0
189,0.2,0.43917261968469046,1.0,0.0,0.0,0.0,0.3333333333333333,0.29408798689020543,2.0,1.0
619,0.0,0.36344855811683735,0.0,1.0,0.0,0.0,0.0,0.3319047018782302,3.0,1.0
672,0.1,0.7530256522025331,0.0,1.0,1.0,0.125,0.0,0.21845455691415605,1.0,0.0
20,0.0,0.415246066809403,0.0,1.0,2.0,0.0,0.0,0.7100718517584772,2.0,0.0
288,0.0,0.42848647040443827,0.0,1.0,0.0,0.0,0.0,0.735282995083827,2.0,0.0
687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.374247205811224,1.0,0.0
618,0.0,0.3502016019446998,0.0,1.0,0.0,0.0,0.0,0.28148241522753054,3.0,0.0
549,0.1,0.44919043492360855,0.0,1.0,2.0,0.125,0.0,0.374247205811224,3.0,0.0
486,0.1,0.40135896919365455,0.0,1.0,1.0,0.125,0.0,0.14282112693810664,3.0,1.0
329,0.0,0.3529552840548492,0.0,1.0,0.0,0.0,0.0,0.43274927517962936,3.0,0.0
116,0.0,0.3502016019446998,0.0,1.0,0.0,0.0,0.0,0.374247205811224,3.0,0.0
383,0.1,0.6672842582473822,0.0,1.0,1.0,0.0,0.16666666666666666,0.28148241522753054,1.0,1.0
648,0.0,0.33812548386615277,0.0,1.0,0.0,0.0,0.0,0.374247205811224,3.0,0.0
335,0.0,0.710264100162358,1.0,0.0,1.0,0.0,0.0,0.29408798689020543,1.0,1.0
402,0.0,0.3529552840548492,0.0,1.0,0.0,0.0,0.0,0.374247205811224,3.0,0.0
324,0.0,0.33763919258513786,0.0,1.0,1.0,0.0,0.0,0.374247205811224,3.0,0.0
617,0.1,0.7227878932056411,1.0,0.0,2.0,0.125,0.0,0.40753813185427956,1.0,1.0
620,0.2,0.7034412659259898,1.0,0.0,0.0,0.0,0.3333333333333333,0.21845455691415605,1.0,1.0
5,0.0,0.5167281848535599,0.0,1.0,0.0,0.0,0.0,0.483171561830329,3.0,0.0
664,0.1,0.45491364524217526,0.0,1.0,0.0,0.0,0.16666666666666666,0.5461994201437035,3.0,0.0
436,0.2,0.5295781586642772,1.0,0.0,0.0,0.125,0.16666666666666666,0.38232698852892977,2.0,1.0
321,0.0,0.3494505372759428,0.0,1.0,0.0,0.0,0.0,0.25627127190218074,3.0,0.0
140,0.0,0.3377209927336551,0.0,1.0,1.0,0.0,0.0,0.374247205811224,3.0,0.0
126,0.2,0.5910796833899638,1.0,0.0,0.0,0.125,0.16666666666666666,0.4957771334930039,2.0,1.0
615,0.0,0.33812548386615277,1.0,0.0,0.0,0.0,0.0,0.26887684356485564,3.0,1.0
240,0.0,0.5764076106287911,0.0,1.0,0.0,0.0,0.0,0.3445102735409051,1.0,1.0
647,0.0,0.33763919258513786,0.0,1.0,1.0,0.0,0.0,0.36972141686625487,3.0,0.0
527,0.2,0.3377209927336551,0.0,1.0,1.0,0.125,0.16666666666666666,0.18063784192613136,3.0,0.0
535,0.0,0.34755366512192026,0.0,1.0,2.0,0.0,0.0,0.39493256019160466,3.0,0.0
153,0.1,0.4701002597957256,0.0,1.0,0.0,0.125,0.0,0.30669355855288033,3.0,0.0
603,0.6000000000000001,0.5572534209632187,0.0,1.0,0.0,0.5,0.3333333333333333,0.02937098197403252,3.0,1.0
398,0.2,0.44919043492360855,1.0,0.0,2.0,0.125,0.16666666666666666,0.39493256019160466,3.0,0.0
72,0.7000000000000001,0.6199594201430055,1.0,0.0,0.0,0.625,0.3333333333333333,0.19324341358880626,3.0,0.0
406,0.1,0.5281013477114938,1.0,0.0,0.0,0.125,0.0,0.35711584520358,2.0,1.0
658,0.0,0.3529552840548492,0.0,1.0,0.0,0.0,0.0,0.35711584520358,3.0,0.0
657,0.0,0.3529552840548492,0.0,1.0,0.0,0.0,0.0,0.36972141686625487,3.0,0.0
442,0.30000000000000004,0.8055694580427181,1.0,0.0,0.0,0.125,0.3333333333333333,0.30669355855288033,1.0,0.0
157,1.0,0.682002570512027,1.0,0.0,0.0,1.0,0.3333333333333333,0.374247205811224,3.0,0.0
187,0.0,0.3723849402651219,0.0,1.0,0.0,0.0,0.0,0.19324341358880626,3.0,0.0
22,0.0,0.6492173620225161,0.0,1.0,0.0,0.0,0.0,0.3445102735409051,3.0,0.0
645,0.1,0.6532989635355536,1.0,0.0,1.0,0.0,0.16666666666666666,0.5461994201437035,1.0,1.0
376,0.0,0.33763919258513786,1.0,0.0,1.0,0.0,0.0,0.374247205811224,3.0,1.0
83,0.1,0.5281013477114938,1.0,0.0,0.0,0.0,0.16666666666666666,0.6218328501197529,2.0,1.0
309,0.0,0.3377209927336551,0.0,1.0,1.0,0.0,0.0,0.24366570023950587,3.0,1.0
696,0.1,0.7083728358165282,0.0,1.0,1.0,0.125,0.0,0.3445102735409051,1.0,0.0
195,0.0,0.33812548386615277,0.0,1.0,0.0,0.0,0.0,0.735282995083827,3.0,0.0
49,0.4,0.495831873839879,1.0,0.0,0.0,0.0,0.6666666666666666,0.35711584520358,3.0,0.0
551,0.0,0.3360081353775779,0.0,1.0,0.0,0.0,0.0,0.29408798689020543,3.0,1.0
38,0.0,0.3767675685322775,0.0,1.0,0.0,0.0,0.0,0.3445102735409051,3.0,0.0
290,0.0,0.7025447166880028,0.0,1.0,1.0,0.0,0.0,0.5714105634690533,1.0,0.0
594,0.0,0.3341931919415684,0.0,1.0,0.0,0.0,0.0,0.29408798689020543,3.0,0.0
517,0.6000000000000001,0.35072669661240763,1.0,0.0,0.0,0.5,0.3333333333333333,0.20584898525148115,3.0,1.0
690,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.374247205811224,2.0,0.0
334,0.0,0.3529552840548492,0.0,1.0,0.0,0.0,0.0,0.374247205811224,3.0,0.0
496,0.1,0.6622795418565016,0.0,1.0,1.0,0.0,0.16666666666666666,0.6344384217824278,1.0,0.0
701,0.0,0.3502016019446998,0.0,1.0,1.0,0.0,0.0,0.35711584520358,3.0,1.0
650,0.0,0.5673780187678832,0.0,1.0,0.0,0.0,0.0,0.7604941384091768,1.0,0.0
362,0.0,0.39134423619738523,0.0,1.0,0.0,0.0,0.0,0.29408798689020543,2.0,0.0
176,0.6000000000000001,0.556695873257052,1.0,0.0,0.0,0.125,0.8333333333333333,0.483171561830329,3.0,0.0
633,0.0,0.3502016019446998,0.0,1.0,0.0,0.0,0.0,0.44535484684230425,3.0,0.0
564,0.0,0.5618055210970822,0.0,1.0,0.0,0.0,0.0,0.7604941384091768,1.0,0.0
530,0.0,0.34755366512192026,0.0,1.0,2.0,0.0,0.0,0.374247205811224,3.0,0.0
107,0.2,0.6852624183133631,0.0,1.0,0.0,0.125,0.16666666666666666,0.8739442833732509,1.0,0.0
26,0.2,0.5281013477114938,0.0,1.0,0.0,0.125,0.16666666666666666,0.01676541031135762,2.0,1.0
251,0.30000000000000004,0.7684432068211329,1.0,0.0,0.0,0.125,0.3333333333333333,0.44535484684230425,1.0,1.0
64,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.609227278457078,3.0,0.0
612,0.0,0.36344855811683735,0.0,1.0,0.0,0.0,0.0,0.25627127190218074,3.0,0.0
595,0.0,0.6206270580010312,0.0,1.0,0.0,0.0,0.0,0.3445102735409051,1.0,0.0
236,0.1,0.6858916529635944,1.0,0.0,1.0,0.125,0.0,0.4705659901676541,1.0,1.0
587,0.0,0.36344855811683735,0.0,1.0,0.0,0.0,0.0,0.374247205811224,3.0,0.0
278,0.0,0.2870987336279537,0.0,1.0,0.0,0.0,0.0,0.40753813185427956,1.0,0.0
499,0.0,0.74937587918781,1.0,0.0,1.0,0.0,0.0,0.36972141686625487,1.0,1.0
501,0.1,0.6361712049470615,1.0,0.0,0.0,0.125,0.0,0.374247205811224,1.0,1.0
197,0.0,0.40470470937773706,0.0,1.0,0.0,0.0,0.0,0.21845455691415605,2.0,0.0
478,0.0,0.34755366512192026,0.0,1.0,0.0,0.0,0.0,0.21845455691415605,3.0,0.0
17,0.0,0.348390182281133,0.0,1.0,0.0,0.0,0.0,0.26887684356485564,3.0,0.0
516,0.0,0.8055694580427181,1.0,0.0,0.0,0.0,0.0,0.26887684356485564,1.0,1.0
227,0.0,0.6361712049470615,0.0,1.0,0.0,0.0,0.0,0.374247205811224,1.0,0.0
283,0.1,0.7227878932056411,1.0,0.0,0.0,0.125,0.0,0.43274927517962936,1.0,1.0
418,0.30000000000000004,0.4820708903996448,1.0,0.0,1.0,0.25,0.16666666666666666,0.0010084457330139917,3.0,1.0
229,0.0,0.3529552840548492,0.0,1.0,0.0,0.0,0.0,0.374247205811224,3.0,0.0
643,0.0,0.35732157203759196,0.0,1.0,0.0,0.0,0.0,0.21845455691415605,3.0,0.0
506,0.1,0.7108659481313712,0.0,1.0,0.0,0.125,0.0,0.5588049918063784,1.0,0.0
188,0.1,0.5157696604351928,0.0,1.0,1.0,0.125,0.0,0.36972141686625487,2.0,0.0
416,0.1,0.8703280791561688,1.0,0.0,1.0,0.125,0.0,0.21845455691415605,1.0,1.0
225,0.2,0.4897287885153229,0.0,1.0,0.0,0.125,0.16666666666666666,0.19324341358880626,3.0,0.0
359,0.0,0.348390182281133,0.0,1.0,0.0,0.0,0.0,0.21845455691415605,3.0,0.0
280,0.2,0.5626649479908982,1.0,0.0,0.0,0.125,0.16666666666666666,0.42014370351695446,2.0,1.0
500,0.0,0.36344855811683735,0.0,1.0,0.0,0.0,0.0,0.5209882768183537,3.0,0.0
24,0.0,0.348390182281133,0.0,1.0,0.0,0.0,0.0,0.3445102735409051,3.0,0.0
266,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.43274927517962936,1.0,1.0
61,0.0,0.34755366512192026,0.0,1.0,2.0,0.0,0.0,0.374247205811224,3.0,0.0
493,0.2,0.3908208840039565,1.0,0.0,0.0,0.125,0.16666666666666666,0.35711584520358,3.0,0.0
452,0.0,0.3529552840548492,0.0,1.0,0.0,0.0,0.0,0.19324341358880626,3.0,0.0
92,0.1,0.8585559919103046,1.0,0.0,0.0,0.0,0.16666666666666666,0.18063784192613136,1.0,1.0
472,0.0,0.34282971590727757,0.0,1.0,0.0,0.0,0.0,0.44535484684230425,3.0,0.0
419,1.0,0.682002570512027,0.0,1.0,0.0,1.0,0.3333333333333333,0.374247205811224,3.0,0.0
475,0.2,0.6907316473431996,0.0,1.0,0.0,0.25,0.0,0.39493256019160466,2.0,0.0
299,0.0,0.33812548386615277,0.0,1.0,0.0,0.0,0.0,0.26887684356485564,3.0,0.0
332,0.0,0.34724755706710003,1.0,0.0,2.0,0.0,0.0,0.374247205811224,3.0,1.0
165,0.0,0.3356791332316349,0.0,1.0,0.0,0.0,0.0,0.20584898525148115,3.0,0.0
231,0.4,0.495831873839879,1.0,0.0,0.0,0.375,0.16666666666666666,0.09239884028740704,3.0,0.0
118,0.2,0.5281013477114938,1.0,0.0,0.0,0.0,0.3333333333333333,0.40753813185427956,2.0,1.0
623,0.0,0.44471781555828604,0.0,1.0,1.0,0.0,0.0,0.28148241522753054,2.0,0.0
267,0.0,0.42286368807669106,0.0,1.0,0.0,0.0,0.0,0.5209882768183537,2.0,0.0
48,0.0,0.6492173620225161,0.0,1.0,0.0,0.0,0.0,0.374247205811224,3.0,0.0
111,0.1,0.4167393940590734,1.0,0.0,0.0,0.0,0.16666666666666666,0.3319047018782302,3.0,1.0
388,0.0,0.3633108603971507,0.0,1.0,0.0,0.0,0.0,0.40753813185427956,3.0,0.0
537,0.0,0.5313325505056177,0.0,1.0,0.0,0.0,0.0,0.5588049918063784,1.0,0.0
301,0.0,0.3502016019446998,0.0,1.0,0.0,0.0,0.0,0.23106012857683098,3.0,0.0
164,0.0,0.39134423619738523,0.0,1.0,0.0,0.0,0.0,0.43274927517962936,2.0,0.0
440,0.1,0.33812548386615277,0.0,1.0,0.0,0.125,0.0,0.26887684356485564,3.0,0.0
353,0.0,0.3498265096711498,0.0,1.0,0.0,0.0,0.0,0.35711584520358,3.0,0.0
136,0.0,0.3818368689483545,1.0,0.0,0.0,0.0,0.0,0.26887684356485564,3.0,0.0
525,0.0,0.3377209927336551,0.0,1.0,1.0,0.0,0.0,0.374247205811224,3.0,0.0
28,0.0,0.345711887900344,0.0,1.0,0.0,0.0,0.0,0.5209882768183537,3.0,0.0
100,0.0,0.8001979354812082,1.0,0.0,1.0,0.0,0.0,0.7226774234211522,1.0,1.0
412,0.1,0.45491364524217526,1.0,0.0,0.0,0.125,0.0,0.374247205811224,3.0,1.0
514,0.2,0.7077696544942279,0.0,1.0,0.0,0.0,0.3333333333333333,0.04197655363670742,1.0,1.0
567,0.0,0.3502016019446998,0.0,1.0,0.0,0.0,0.0,0.3192991302155552,3.0,0.0
222,0.0,0.7165034463969725,1.0,0.0,0.0,0.0,0.0,0.19324341358880626,1.0,1.0
424,0.1,0.45255376673825426,1.0,0.0,0.0,0.125,0.0,0.29408798689020543,3.0,1.0
439,0.2,0.786578536659575,1.0,0.0,1.0,0.125,0.16666666666666666,0.4957771334930039,1.0,1.0
555,0.0,0.3473245973858278,0.0,1.0,2.0,0.0,0.0,0.374247205811224,3.0,0.0
134,0.0,0.37251505985030076,0.0,1.0,0.0,0.0,0.0,0.28148241522753054,3.0,0.0
186,0.1,0.6475482867996226,0.0,1.0,0.0,0.125,0.0,0.6218328501197529,1.0,0.0
224,0.0,0.32810766862723467,1.0,0.0,2.0,0.0,0.0,0.21845455691415605,3.0,0.0
265,0.0,0.33763919258513786,0.0,1.0,1.0,0.0,0.0,0.374247205811224,3.0,0.0
522,0.0,0.3217818660681474,0.0,1.0,0.0,0.0,0.0,0.5335938484810286,3.0,0.0
624,0.0,0.7558914972956429,1.0,0.0,1.0,0.0,0.0,0.374247205811224,1.0,1.0
177,0.0,0.39134423619738523,1.0,0.0,0.0,0.0,0.0,0.6218328501197529,2.0,1.0
483,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.374247205811224,2.0,0.0
122,0.0,0.44919043492360855,0.0,1.0,2.0,0.0,0.0,0.374247205811224,3.0,0.0
509,0.0,0.3356791332316349,0.0,1.0,0.0,0.0,0.0,0.43274927517962936,3.0,0.0
704,0.0,0.3502016019446998,0.0,1.0,1.0,0.0,0.0,0.43274927517962936,3.0,0.0
62,0.0,0.8662478349118685,0.0,1.0,0.0,0.0,0.0,0.374247205811224,1.0,0.0
547,0.0,0.3529552840548492,0.0,1.0,0.0,0.0,0.0,0.374247205811224,3.0,0.0
253,0.0,0.3494505372759428,0.0,1.0,0.0,0.0,0.0,0.5966217067944031,3.0,0.0
264,0.0,0.39134423619738523,0.0,1.0,0.0,0.0,0.0,0.39493256019160466,2.0,0.0
447,0.2,0.491789087380451,0.0,1.0,0.0,0.125,0.16666666666666666,0.40753813185427956,3.0,0.0
3,0.0,0.589064149215766,0.0,1.0,0.0,0.0,0.0,0.5840161351317282,1.0,0.0
120,0.0,0.42286368807669106,0.0,1.0,0.0,0.0,0.0,0.38232698852892977,2.0,1.0
397,0.1,0.6449935901916027,1.0,0.0,0.0,0.0,0.16666666666666666,0.26887684356485564,1.0,1.0
282,0.6000000000000001,0.556695873257052,0.0,1.0,0.0,0.125,0.8333333333333333,0.483171561830329,3.0,0.0
25,0.2,0.4515205782884459,1.0,0.0,1.0,0.0,0.3333333333333333,0.004159838648682718,3.0,1.0
413,0.0,0.7025447166880028,1.0,0.0,1.0,0.0,0.0,0.374247205811224,1.0,1.0
152,0.30000000000000004,0.6010920603306374,1.0,0.0,1.0,0.125,0.3333333333333333,0.26887684356485564,2.0,1.0
75,0.0,0.5528013511027754,0.0,1.0,1.0,0.0,0.0,0.39493256019160466,1.0,1.0
337,0.4,0.5249047780663141,1.0,0.0,0.0,0.375,0.16666666666666666,0.374247205811224,3.0,0.0
521,0.6000000000000001,0.5572534209632187,1.0,0.0,0.0,0.125,0.8333333333333333,0.4705659901676541,3.0,1.0
